Título,Link,Endereço,Especificações,Observações,Preço,Metrô mais próximo,Metrõ mais Rapido,Distancia,Duração
"Apartamento para Venda em São Paulo, Vila Andrade, 2 Dormitórios, 1 Banheiro, 1 Vaga",/propriedades/apartamento-para-venda-em-sao-paulo-vila-andrade-2-2948281078.html,"Vila Andrade, São Paulo",53 m² área total 50 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Apartamentos Studio de 50 mº no Panamby, com 2 dormitórios, ao lado do metrô, Smart Home, infraestrutura para ar-condicionado, 1 vaga e aquecimento solar. Todas as áreas livres entregues equipadas e decoradas de acordo com o projeto de paisagismo. Em um dos bairros mais nobres e arborizados da capital paulista, próximo ao parque Burle Marx. Além disso, você estará a 3 minutos da estação Giovanni Gronchi do metrô, a menos de 10 minutos dos shoppings Jardim Sul e Morumbi Town, além de estar próximo as principais avenidas de São Paulo, como a Faria Lima e a Paulista. Valor inicial referente a unidade de 50 mº da torre 1, vigente em fevereiro de 2020, sujeito a disponibilidade. - Observação: : Os valores e informações são de responsabilidade do proprietário, podendo sofrer alterações a qualquer momento. - pontos fortes: Acabamento Localização Infraestrutura - Aquecimento Solar - Copa - Terraço - Ar Condicionado - Portão Eletrônico - Mall de Lojas e Serviços - Medidores Individualizados - Portaria 24 horas - Churrasqueira - Espaço Gourmet - Fitness - Piscina - Salão de Festas - Salão de Jogos",R$ 368.000,Giovanni Gronchi,Giovanni Gronchi,2131,2131
Metrô Barra Funda,/propriedades/metro-barra-funda-2947100002.html,"Rua Doutor Sergio Meira - 280, Barra Funda, São Paulo",36 m² área total 30 m² área útil 2 Quartos 1 Banheiro,"Apartamento de 1 ou 2 Dormitórios com Lazer Completo ao lado do Metrô Barra Funda, e com todos os Benefícios do minha casa minha vida. 1 Dormitório a partir de R$ 153. 000, 00. Entrada a partir de R$ 500, 00. Mais informações me chama no whatsapp Ver dados. Número de Torres: 1. Total de Unidades: 278. Elevadores: 3. Pavimentos: Térreo + 17 Andares. Número de dormitórios: 1 e 2. Itens de lazer",R$ 153.000,Marechal Deodoro,Marechal Deodoro,993,993
Apartamento em Leilão - Vila Andrade - São Paulo - Sp,/propriedades/apartamento-em-leilao-vila-andrade-sao-paulo-sp-2947977835.html,"Avenida Giovanni Gronchi, 3975 - Vila Andrade - São Paulo - SP, Vila Andrade, São Paulo",286 m² área total 286 m² área útil 6 Quartos,"Imóvel em leilão pela zukerman leilões. Lance inicial: R$ 340. 000, 00. Data do Leilão: 20/02/2020 às 10: 00. informações sobre esta oportunidade: São Paulo/sp - Vila Andrade - Apartamento nº 07, localizado no 7º andar do edifício roof, c/ 03 vagas de garagem sob nºs M-21, M-22 e G-08, localizadas no 2º subsolo do edifício, situado na Av. Presidente Giovanni Gronchi, nº 3. 975, Morumbi, Área total construída: 488, 98m², Área útil: 285, 97m². Matrícula nº 25. 540 do 18º ri local. Desocupado. Os dados referentes a número de quartos, metragem e demais características gerais do imóvel podem divergir, para maiores informações sobre o imóvel favor entrar em contato. Para maiores informações acesse. br e localize esta oportunidade em nosso site ou ligue Ver dados. Imóveis em todo o Brasil com valores até 50% abaixo do valor de avaliação!",R$ 340.000,Giovanni Gronchi,Giovanni Gronchi,3472,3472
Apartamento à Venda Vila Ema Entrada Fácil,/propriedades/apartamento-a-venda-vila-ema-entrada-facil-2946394435.html,"Avenida Vila Ema, 2465 - Vila Ema, Vila Ema, São Paulo",28 m² área total 28 m² área útil 1 Quarto 1 Banheiro,"Breve Lançamento Vila Ema Entrada Fácil. Próximo Metro Oratório. Próximo Metro Vila Prudente. entrega para 10/2021. - 1 Dormitório unidades de 27 a 37 metros. - Academia. - Churrasqueira. - Salão de Festas. - Brinquedoteca. - Playground. - Bicicletário. *Piso Laminado. *Piso Frio. *documentação itbi e Registro Grátis. *Unidades com Sacada e sem Sacada. Entrada a partir de R$999, 00. Parcelas a partir de R$399, 00. Entrada Facilitado Durante Obras. Financiamento Caixa, Use seu fgts. Entre em contato agenda sua visita. (11) Ver dados / (11) Ver dados. creci Ver dados F",R$ 156.653,Oratorio,Oratorio,1015,1015
"Apartamento no Tucuruvi, De 2 Dormitórios, Lazer Completo E Vaga.",/propriedades/apartamento-no-tucuruvi-de-2-dormitorios-lazer-2945661256.html,"Av. Guapira, 1437, Tucuruvi, São Paulo",47 m² área total 47 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Venha conferir um apartamento incrível na região do Tucuruvi. Contando com uma planta de 47m², tendo a opção de living ampliado. O apartamento conta com a melhor localização, muita segurança, e um lazer maravilhoso para você! Contamos com salão de jogos, salão de festas, fitness, brinquedoteca, playground, redário, mini quadra, churrasqueira, piscina adulto e infantil e pet play. O apartamento está pronto, e temos condições maravilhosas de pagamento!",R$ 290.500,Tucuruvi,Tucuruvi,1618,1618
Apartamento 2 Quartos Vila Pirajussara Campo Limpo,/propriedades/apartamento-2-quartos-vila-pirajussara-campo-limpo-2945184205.html,"Vila Pirajussara, São Paulo",58 m² área total 58 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Apartamento de 58 m² com 2 quartos, sala, cozinha, banheiro, área de serviço e vaga de garagem. Cozinha com armários e apartamento com piso frio. Bem localizado próximo estrada do Campo Limpo e metrô Campo Limpo. Rua Tranquila. Condomínio possui portaria com controle de acesso, automação predial, vigilância 24 horas, gerador de emergência, churrasqueira, salão de jogos, jardim, piscina infantil, salão de festas, quadra poliesportiva, piscina playground e forno pizza/pão. Água e gás incluso no valor de condomínio. Próximo a delegacia, padaria e comércios em geral. Fácil acesso as cidades de Taboão da Serra e Embu das Artes.",R$ 245.000,Campo Limpo,Campo Limpo,2882,2882
Cambuci - Apartamento 1 Dorm - Entregue Com Pisos - Documentos Gratis - Sé,/propriedades/cambuci-apartamento-1-dorm-entregue-com-pisos-2945800195.html,"R. do Lavapés, 245 245, Cambuci, São Paulo",32 m² área total 26 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"Apartamento 1 Dorm. - Cambuci, Centro, Liberdade, Mooca - Documento Gratis. olá sou A bianca. (11) Ver dados. seguem algumas informações. Descrição. O grande sucesso do cambuci com A planta bem resolvida de 1 dormit 26 A 32 mt esta de volta agora prox do largo do cambuci! Apartamento no cambuci proximo do metro vila mariana, liberdade!! obras aceleradas!! **no minha casa minha vida **146 mil use seu fgts. entrada de 2 mil E parcelas de 499 reais. entrada de 2 mil + documentacao gratis!! Analisado E aprovado pela caixa primeiro passo do processo!! **use seu fgts** agende já uma visita no nosso lindo decorado!! Fazemos uma simulacao sem compromisso! Proximo do metro vila mariana, liberdade mooca, onibus para todo lado de sao paulo, fura fila, anchieta E imigrantes ao lado!! Ao lado do carrefour E novo shopping cosmopolitano!! Novo shopping!! Meseu do ipiranga!! Como funciona O sistema? R: sistema direto com A caixa apuramos sua renda podendo colocar ate 4 pessoas, fgts E data de nascimento do mais velho, O proprio sistema vai liberar um valor de financiamento, O valor da diferenca que sobrar sera A entrada ou seja tudo que A caixa nao financiar sera A entrada com opcao de parcelamento de ate 24 vezes com entrada E parcelas facilitadas. venha fazer uma simulacao sem compromisso! E conquiste ja seu grande seu sonho da casa propria! ligue ja E agende uma visita! Subsídio de até R$ 27. 500 do governo. Torres altas com elevador. Lazer e Segurança de condomínio. Fácil acesso ao transporte público. Vem conquistar o que é seu. Torres altas com elevador. - Lazer e Segurança de condomínio. - Fácil acesso ao transporte público. Metragens. facil rapido E bem localizado: Estação Alberto Lion. 7min. Estação Liberdade. 11min. Estação cptm Mooca. 6min. Museu do Ipiranga. 8min. Largo do Cambuci. 9min. Parque da Aclimação. 7min. tudo proximo de voce! *academias. *bancos. *escolas. *escola de indiomas. *faculdades. *farmacias. *feiras. *hospitais. *lojas. *padarias. *parques. *restaurantes. *shoppings. *supermercado. **use seu fgts** minha casa minha vida!! Direto com a construtora!! Corram antes do lancamento e garante ja sua unidade!! direto com a caixa economica!! Traga seus documentos para analise sem compromisso com a caixa econimica federal: rg. cpf. certidao de nascimento. comprovante de residencia. extrato do fgts. 3 ultimos holerites. declaracao de imposto de renda. carteira de trabalho. nao fique de fora!! Cadastre-se ja no programa minha casa minha vida e conquiste seu imovel tao sonhado!! Cadastre-se ja! Bianca direto da construtora",R$ 145.900,Japao Liberdade,Japao Liberdade,1372,1372
"Apartamento Com 3 Quartos à Venda, 75 m² Por R$375.000 - Chácara Santo Antônio (Zona Leste) - São P",/propriedades/apartamento-com-3-quartos-a-venda-75-m-sup2--por-2944419081.html,"Chácara Santo Antônio (Zona Leste), São Paulo",144 m² área total 75 m² área útil 3 Quartos 3 Banheiros 2 Vagas,"Apartamento à venda no condomínio residencial Edifício Tennessee - Tatuapé - São Paulo/sp. No sétimo andar, com 75 m², o imóvel dispõe de 3 quartos (sendo 1 suíte), sala para dois ambientes com sacada, cozinha, banheiro social, lavanderia e banheiro de serviço. Com 2 vagas de garagem cobertas. O imóvel tem bastante iluminação natural, o que faz com que se gaste menos energia, produza-se menos lâmpadas e utilize menos fiação. Você economiza e de quebra contribui para sustentabilidade ambiental. É uma boa, não acha? Além disso, o condomínio está muito bem localizado. Fica próximo ao comércio, bancos, padarias, escolas, clínicas, com rápido e fácil acesso a Marginal e Radial Leste. Tudo bem pertinho de você! Uma excelente oportunidade! Agende uma visita e venha conhecer o seu novo lar! - 12/02/2020",R$ 375.000,Carrao,Carrao,2210,2210
Apto à Venda 2 Dormitórios + Vaga De Garagem E Lazer Completo,/propriedades/apto-a-venda-2-dormitorios-vaga-de-garagem-e-lazer-2943912064.html,"Rua Itamonte 2310, Jaçanã, São Paulo",47 m² área total 47 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Projeto Homenagem Jaçanã, pronto para morar, aptos de 47 m², 48 m² e 58 m². 47 m² e 48 m²? 2 dorms + Varanda + Vaga de garagem. ? Dentro do programa mcmv. ? A partir de R$235. 000, 00. -? CondomínioClube completo:? Piscina. ? Área Gourmet. ? Churrasqueira. ? Salão de Festa. ? Quadra. ? Brinquedoteca. ? Academia. ? Salão de Jogos",R$ 244.400,Tucuruvi,Tucuruvi,4315,4315
Lindo Apartamento para Venda Com 35 m² Com 1 Quarto em Perdizes - São Paulo - Sp,/propriedades/lindo-apartamento-para-venda-com-35-m-sup2--com-1-2946306702.html,"Perdizes, São Paulo",35 m² área total 35 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"Lindo apartamento de 1 quarto para venda em localização privilegiada em Perdizes, andar alto com direto a uma vaga de garagem, sala clara, cozinha americana para receber amigos e desfrutar, banheiro espaçoso, fogão embutido, quarto amplo. Apartamento em excelente estado em um prédio bonito e seguro com portaria 24hrs. Localização privilegiada, fácil acesso a Av. Sumaré, Estação do Metro Sumaré, próximo ao Shopping Bourbon, Shopping West Plaza, Padaria La Plaza, concessionarias de carro, bancos, supermercados, em região rica em comércio e lazer. Venham conhecer!",R$ 349.000,Clinicas,Santuario Nossa Senhora De Fatima Sumare,2682,2909
"Apartamento Residencial à Venda, Morumbi, São Paulo.",/propriedades/apartamento-residencial-a-venda-morumbi-sao-paulo.-2938189855.html,"Morumbi, São Paulo",53 m² área total 53 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Excelente oportunidade, imóvel com localização privilegiada, no coração do Portal do Morumbi, próximos a shoppings, bares, restaurante, centros comerciais, padarias, açougue, rede bancária e mercados. Com fácil acesso as Avenidas Giovanni Gronchi, Professor Francisco Morato, Rodovia Régis Bittencourt e Estada do Campo Limpo. Agende já sua visita. - Ref.: 273-imVer dados",R$ 290.000,Sao Paulo Morumbi,Sao Paulo Morumbi,1567,1567
Apartamento - Vila Albano,/propriedades/apartamento-vila-albano-2941302547.html,"Vila Albano, São Paulo",65 m² área total 65 m² área útil 2 Quartos 2 Banheiros 1 Vaga,"Magnífico, espetacular, excelente localização e custo benefício, apartamento padrão para venda, segue abaixo descrição detalhada do imóvel e forma de contratação, vale a pena conferir, não perca mais tempo, venha conhecer e faça já sua proposta para compra, Características do imóvel: 02 dormitórios. 01 suíte. 01 vaga de garagem. 02 banheiros. 65 m² Condomínio: 650, 00. I. P. T. U Exercício 2019: em 10 parcelas de: R$340, 00 - 01/02/2019",R$ 295.000,Butanta,Butanta,7963,7963
Poeta Drummond Fora Do Pool - (11)3059 - 0846 (11)97119 - 0488 (Whatsapp).,/propriedades/poeta-drummond-fora-do-pool-11-3059-0846-2938269476.html,"R DA CONSOLAÇÃO 3101, Consolação, São Paulo",300 m² área total 27 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"O Poeta Drummond Flat Service fica no bairro dos Jardins, está localizado no coração de uma das áreas que melhor combina vida profissional e pessoal. Localizado a poucos metros da importante Avenida Paulista, o bairro do Jardins é uma união de quatro bairros menores: Jardim Paulista, Jardim América, Jardim Europa e Jardim Paulistano. É uma área de classe alta, com muitas coisas para fazer, como compras e passeios em museus e parques. O lugar é muito conhecido pela Oscar Freire, a rua mais luxuosa da cidade e repleta de butiques sofisticadas. No condomínio: - Recepção 24 horas; - Mobilia. - Ar condicionado. - Interfone. - Estacionamento com Manobrista; - Sala de Ginástica; - Piscina. - Restaurante. Nos Jardins, você também encontra um museu cheio de estilo, o Museu da Imagem e do Som de São Paulo (mis) e se estiver procurando uma área verde, reserve um momento para relaxar no Parque Trianon, um lugar bem no coração da Avenida Paulista. A região abriga também hospitais - como o Incor, Instituto do Coração, que fica a apenas 8 minutos de caminhada, um importante centro empresarial de São Paulo e uma vida noturna com opção para todos os gostos. Em 10 minutos a pé pode-se chegar à Avenida Paulista e a estação Consolação, com acesso à Linha Amarela do metrô, que liga os principais pontos da cidade. Na própria Av. Paulista pode-se conhecer muitos pontos atrativos de São Paulo, como o Museu de Arte Moderna masp. A área de lazer conta com piscina ao ar-livre e academia. Flat/Condo Hotel com excelente rentabilidade seja investimento no sistema pool, quanto para locação convencional intermediada pela Só Flats ou locação através das Plataformas Digitais, gerando os melhores rendimentos do mercado e valorização do seu imóvel. A Só Flats é uma empresa especializada em compra e venda de Flats dentro e fora da cidade de São Paulo, para moradia ou investimento. Não deixe de nos consultar. Sujeito à confirmação de disponibilidade e valores, sem aviso prévio. Só Flats Negócios Imobiliários (11) Ver dados ou (11) Ver dados(whatsapp).",R$ 330.000,Oscar Freire,Paulista,1004,1017
More no Centro De São Paulo na Região Do Cambuci - Apartamento 1 Dorm - Sé,/propriedades/more-no-centro-de-sao-paulo-na-regiao-do-cambuci-2945800164.html,"R. do Lavapés, 245 245, Cambuci, São Paulo",32 m² área total 26 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"Apartamento 1 Dorm. - Cambuci, Centro, Liberdade, Mooca - Documento Gratis. olá sou A bianca. (11) Ver dados. seguem algumas informações. Descrição. O grande sucesso do cambuci com A planta bem resolvida de 1 dormit 26 A 32 mt esta de volta agora prox do largo do cambuci! Apartamento no cambuci proximo do metro vila mariana, liberdade!! obras aceleradas!! **no minha casa minha vida **146 mil use seu fgts. entrada de 2 mil E parcelas de 499 reais. entrada de 2 mil + documentacao gratis!! Analisado E aprovado pela caixa primeiro passo do processo!! **use seu fgts** agende já uma visita no nosso lindo decorado!! Fazemos uma simulacao sem compromisso! Proximo do metro vila mariana, liberdade mooca, onibus para todo lado de sao paulo, fura fila, anchieta E imigrantes ao lado!! Ao lado do carrefour E novo shopping cosmopolitano!! Novo shopping!! Meseu do ipiranga!! Como funciona O sistema? R: sistema direto com A caixa apuramos sua renda podendo colocar ate 4 pessoas, fgts E data de nascimento do mais velho, O proprio sistema vai liberar um valor de financiamento, O valor da diferenca que sobrar sera A entrada ou seja tudo que A caixa nao financiar sera A entrada com opcao de parcelamento de ate 24 vezes com entrada E parcelas facilitadas. venha fazer uma simulacao sem compromisso! E conquiste ja seu grande seu sonho da casa propria! ligue ja E agende uma visita! Subsídio de até R$ 27. 500 do governo. Torres altas com elevador. Lazer e Segurança de condomínio. Fácil acesso ao transporte público. Vem conquistar o que é seu. Torres altas com elevador. - Lazer e Segurança de condomínio. - Fácil acesso ao transporte público. Metragens. facil rapido E bem localizado: Estação Alberto Lion. 7min. Estação Liberdade. 11min. Estação cptm Mooca. 6min. Museu do Ipiranga. 8min. Largo do Cambuci. 9min. Parque da Aclimação. 7min. tudo proximo de voce! *academias. *bancos. *escolas. *escola de indiomas. *faculdades. *farmacias. *feiras. *hospitais. *lojas. *padarias. *parques. *restaurantes. *shoppings. *supermercado. **use seu fgts** minha casa minha vida!! Direto com a construtora!! Corram antes do lancamento e garante ja sua unidade!! direto com a caixa economica!! Traga seus documentos para analise sem compromisso com a caixa econimica federal: rg. cpf. certidao de nascimento. comprovante de residencia. extrato do fgts. 3 ultimos holerites. declaracao de imposto de renda. carteira de trabalho. nao fique de fora!! Cadastre-se ja no programa minha casa minha vida e conquiste seu imovel tao sonhado!! Cadastre-se ja! Bianca direto da construtora",R$ 145.900,Japao Liberdade,Japao Liberdade,1372,1372
